S_text,T_text,labels
The system shall timeout after a period of inactivity.,"The system shall be able to detect security-relevant events that it mediates and generate audit records for them. At a minimum the events shall include: start/stop, user login/logout, session timeout, account lockout, patient record created/viewed/updated/deleted, scheduling, query, order, node-authentication failure, signature created/validated, PHI export (e.g. print), PHI import, and security administration events.? Note: The system is only responsible for auditing security events that it mediates. A mediated event is an event that the system has some active role in allowing or causing to happen or has opportunity to detect. The system is not expected to create audit logs entries for security events that it does not mediate.",1
The system shall timeout after a period of inactivity.,"The system upon detection of inactivity of an interactive session shall prevent further viewing and access to the system by that session by terminating the session, or by initiating a session lock that remains in effect until the user reestablishes access using appropriate identification and authentication procedures. The inactivity timeout shall be configurable.",1
The system shall timeout after a period of inactivity.,"The system shall provide the ability to capture and store discrete data regarding symptoms, signs and clinical history, from a clinical encounter and to associate that data with codes from standardized nomenclatures.",0
The system shall timeout after a period of inactivity.,The HIE shall be able to utilize identity tokens,0
The system shall include capabilities for ordering laboratory tests and reviewing results.,The system shall provide the ability to schedule radiology tests,1
The system shall include capabilities for ordering laboratory tests and reviewing results.,The system shall display laboratory results that are pending at time of patient discharge.,1
The system shall include capabilities for ordering laboratory tests and reviewing results.,The system shall provide the ability to send a query to check status of a test order,1
The system shall include capabilities for ordering laboratory tests and reviewing results.,The system shall provide the ability to send an order for a laboratory test,1
The system shall include capabilities for ordering laboratory tests and reviewing results.,"For medications that require consideration of laboratory test results in dosing, the system shall check for inappropriate dosing and inform the clinician during ordering.",1
The system shall include capabilities for ordering laboratory tests and reviewing results.,The system shall provide the ability to filter or sort results by type of test and test date.,1
The system shall include capabilities for ordering laboratory tests and reviewing results.,"The system shall provide the ability to include in an order set order types including but not limited to medications, laboratory tests, imaging studies, procedures and referrals.",1
The system shall include capabilities for ordering laboratory tests and reviewing results.,"The system shall provide the ability to order diagnostic tests, including labs and imaging studies.",1
The system shall include capabilities for ordering laboratory tests and reviewing results.,The system shall provide the ability to order radiology tests,1
The system shall include capabilities for ordering laboratory tests and reviewing results.,The HIE SHALL have the ability to perform the roles of Sender and Receiver of clinical laboratory results using  HL7 v.2.5.1 as specified in the HITSP Component 36 Lab Message and Component 35 EHR Lab Terminology.,1
The system shall include capabilities for ordering laboratory tests and reviewing results.,The HIE SHALL have the ability to perform the roles of Sender and Receiver of clinical laboratory results using HL7 CDA r2 as specified in the HITSP Component 37 Lab Report Document Structure with the contents and terminology specified in HITSP Component 35 EHR Lab Terminology.,1
The system shall include capabilities for ordering laboratory tests and reviewing results.,The system shall provide the ability to receive and store general laboratory results (includes ability to differentiate preliminary results and final results and the ability to process a corrected result),1
