id,text
1674,The system shall improve accessibility of online clinical information and results.
1688,The system shall integrate all components of the patient record to provide comprehensive and intelligent clinical information access and reporting.
1689,"The system shall allow multiple use and integration of information, including cutting and pasting among components, boilerplate capabilities, templates, etc., thus decreasing the amount of duplicate entry of data."
1690,The system shall be easy to use by improving the user interface to reflect industry standards and principles of usability and user-centered design.
1691,The system shall use HL-7 communications protocol for transferring messages among packages
1692,"The system shall allow setting of business rules, document types, user classes, etc. to control access to documents, reports, verification, signing, and so on"
1693,"The system shall support the Ambulatory Care Date Capture project for capturing encounter data for workload credit, as well as capturing clinically relevant data for reminders and reports"
1694,The system shall have pre-defined progress note templates.
1695,The system shall allow creation of personalized templates to fit the specific needs of individual practices.
1696,"The system shall include clinical reminders to provide relevant information to providers, at the point of care, for improving patient care."
1697,The system shall include a graphing feature to allow users to view lab test results and vital signs in a graph.
1675,"The system shall provide a means to view patient demographics, allergies and adverse reactions, postings (cautions, warnings, allergies, and advance directives), clinical reminders, current medications, problems, appointments, etc."
1698,"The system shall include a report construction feature so each site can individually run related to patient data including: Health Summary, Vitals Cumulative, Nutritional Assessment, Daily Order Summary and Order Summary for a Date Range reports."
1699,The system shall support role-based access for security controls.
1700,The system shall support audit capability.
1701,"The system shall support requirements for codified data, including diagnosis data using ICD-9 codes."
1702,"The system shall have the capability to capture and store risk, social and medical factors; including, but not limited to the following: Tobacco use and history including number of years and packs per day (PPD), Alcohol use history, Drug use history, Occupational environment, Marital status, Occupation, Religious preference, Ethnicity, Healthcare surrogate with alert, Guardian/legal representative with alert."
1703,"The system shall document discharge summary hospitalization data, as well as procedure and diagnosis-related information."
1704,The system shall capture history of received immunizations.
1705,The system shall include capabilities for ordering laboratory tests and reviewing results.
1706,The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile.
1707,The system shall provide the following pediatric functionality including: Pediatric progress note templates based on the Indian Health Services (IHS) progress note templates and American Academy of Pediatric Bright Futures templates
1708,The system shall provide OB/GYN progress note templates based on the IHS progress note templates.
1676,The system shall improve efficiency of entering orders.
1677,The system shall provide a way for user to quickly click on the specifications that he or she wants for each order placed.
1678,The system shall provide an option to so a user can quickly set up orders for frequently placed orders.
1679,The system shall allow several orders to be placed with the ability for a user to sign for them all at once.
1680,"The system shall allow event-delay capability for pre-admission, discharge, and transfer orders"
1709,The system will provide the ability to register patients of all types.
1710,"The system shall have the capability to capture and store risk, social, and medical factors for each new patient."
1711,The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.
1712,The system shall support the requirements for codified data specified by the DOQ-IT quality improvement measures.
1713,The system shall trigger registration reminders when patient meets eligibility requirements for the DOQ-IT program.
1714,The system shall include Standard Laboratory and Medication orderable files.
1715,The system shall include the ability to print prescriptions for signature and fax prescriptions to a local pharmacy with an electronic signature.
1716,The system shall provide a platform for building interfaces to external lab services enabling automated order entry and results reporting.
1717,The system shall provide an open source integration platform to build interfaces to Billing/Practice Management systems.
1718,The system shall require handwritten signatures for outpatient medication orders of schedule 2 and schedule 2n controlled substances due to DEA policy.
1719,The system's pilot program shall use a smart card to digitally sign medication orders.
1720,"The system shall require a smart card reader, smart card, and a PIN to digitally sign an order."
