id,text
45,"In areas where results from multiple patients are displayed, the system shall provide the ability to filter or sort results by patient."
46,"The system shall (will) provide the ability to record the author, date and time of the in-progress note and the final note"
47,The system shall allow authorized users to update the directory.
48,"The system shall associate (store and link) key identifier information (e.g., system ID, medical record number) with each patient record."
49,The system shall be able to support the standards identified and recommended by the Health Information Technology Standards Panel (HITSP) on its HITSP-TP13 Ver 1.0.1 document
50,The system shall be capable of documenting current and past tobacco use in a quantitative fashion.
51,"The system shall be capable of documenting that tobacco cessation counseling was provided, including a date stamp."
52,The system shall be capable of indicating to the user when a vital sign measurement falls outside a preset normal range as set by authorized users.
53,The system shall be capable of recording comments by the patient or the patient's representative regarding the accuracy or veracity of information in the patient record (henceforth 'patient annotations').
54,"The system shall be capable, at the time of ordering a medication for administration (as opposed to prescribing), of alerting the user that based on the results of a laboratory test, the patient may be at increased risk for adverse effects of the medication."
55,The system shall create a single patient record for each patient.
56,The system shall display and provide the ability for patients to electronically sign consent forms using currently available digital signature standards.  Electronically signed consent forms shall be maintained within the patient medical record.
57,The system shall display patient annotations in a manner which distinguishes them from other content in the system.
58,The system shall ensure secure electronic messaging with patients
59,The system shall have the ability to provide a list of financial and administrative codes.
60,The system shall have the ability to provide a view of active orders for an individual patient.
61,"The system shall have the ability to provide a view of orders by like or comparable type, e.g., all radiology or all lab orders."
62,The system shall have the ability to provide access to patient-specific test and procedure instructions that can be customized by the physician or health organization these instructions are to be given to the filler of the order.  These instructions may reside within the system or be provided through links to external sources.
63,The system shall have the ability to provide access to patient-specific test and procedure instructions that can be customized by the physician or health organization these instructions are to be given to the patient.  These instructions may reside within the system or be provided through links to external sources.
64,"The system shall have the ability to provide access to standard care plan, protocol and guideline documents when requested at the time of the clinical encounter. These documents may reside within the system or be provided through links to external sources."
65,The system shall have the ability to provide access to test and procedure instructions that can be customized by the physician or health organization. These instructions may reside within the system or be provided through links to external sources.
66,The system shall have the ability to provide assistance with selecting an appropriate CPT Evaluation and Management billing code based on codified clinical information in the encounter.
67,The system shall have the ability to provide electronic communication between prescribers and pharmacies or other intended recipients of the medication order.
68,"The system shall have the ability to provide filtered displays of encounters based on encounter characteristics, including date of service, encounter provider and associated diagnosis."
69,The system shall have the ability to provide support for disclosure management in compliance with HIPAA and applicable law.
70,The system shall have the capacity to retain all recorded data in the production data base or archive for the minimum required per law.
71,The system shall include standard medication codes associated with each medication in the list for medications in the vendor-provided medication database.
72,The system shall provide a field which will identify patients as being exempt from reporting functions.
73,The system shall provide a means to document a patient's dispute with information currently in their chart.
74,The system shall provide a method for archiving health record information.
75,The system shall provide access to clinical images.  They must be accessible from within the patient's chart and labeled and date-time stamped or included in a patient encounter document.  These images may be stored within the system or be provided through direct linkage to external sources.
76,"The system shall provide access to patient instructions and patient educational materials, which may reside within the system or be provided through links to external sources."
77,"The system shall provide an administrative function allowing an administrator to set rules for data retention, automated archiving and data retrieval within minimum required by law."
78,The system shall provide drug-disease interaction alerts at the time of entering a problem.
79,The system shall provide drug-disease interaction alerts at the time of medication ordering.
80,The system shall provide protectiog to maintain the integrity of clinical data during concurrent access.
81,The system shall provide templates for inputting data in a structured format as part of clinical documentation.
